Source ,American Community Survey,,,
Note ,Education Attainment 2015,,,
URL ,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_S1501&prodType=table,,,
,,,,
Fips ,Geography ,Years ,Statistics ,Value 
18043,"Floyd County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1740
18045,"Fountain County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,501
18047,"Franklin County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,684
18049,"Fulton County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,530
18051,"Gibson County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,684
18053,"Grant County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1660
18055,"Greene County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,934
18057,"Hamilton County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,2109
18059,"Hancock County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,571
18061,"Harrison County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,938
18063,"Hendricks County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1832
18065,"Henry County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1394
18067,"Howard County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1994
18069,"Huntington County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,566
18071,"Jackson County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1245
18073,"Jasper County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,635
18075,"Jay County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,661
18077,"Jefferson County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,867
18079,"Jennings County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,878
18081,"Johnson County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1846
18083,"Knox County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,615
18085,"Kosciusko County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,2499
18087,"LaGrange County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,6027
18089,"Lake County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,15660
18091,"LaPorte County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,2763
18093,"Lawrence County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1170
18095,"Madison County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,2898
18097,"Marion County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,30007
18099,"Marshall County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,2104
18101,"Martin County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,378
18103,"Miami County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1022
18105,"Monroe County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1862
18107,"Montgomery County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,653
18109,"Morgan County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1072
18111,"Newton County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,361
18113,"Noble County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,2079
18115,"Ohio County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,151
18117,"Orange County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,777
18119,"Owen County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,730
18121,"Parke County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,583
18123,"Perry County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,599
18125,"Pike County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,297
18127,"Porter County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,2312
18129,"Posey County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,320
18131,"Pulaski County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,425
18133,"Putnam County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,839
18135,"Randolph County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,939
18137,"Ripley County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,695
18139,"Rush County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,524
18141,"St. Joseph County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,6170
18143,"Scott County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1209
18145,"Shelby County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1080
18147,"Spencer County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,464
18149,"Starke County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,947
18151,"Steuben County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,613
18153,"Sullivan County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,570
18155,"Switzerland County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,322
18157,"Tippecanoe County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,3356
18159,"Tipton County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,435
18161,"Union County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,116
18163,"Vanderburgh County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,3525
18165,"Vermillion County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,287
18167,"Vigo County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,2151
18169,"Wabash County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,813
18171,"Warren County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,239
18173,"Warrick County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,712
18175,"Washington County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1177
18177,"Wayne County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,1979
18179,"Wells County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,401
