Source ,American Community Survey,,,
Note ,Education Attainment 2015,,,
URL ,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_S1501&prodType=table,,,
,,,,
Fips ,Geography ,Years ,Statistics ,Value 
18019,"Clark County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,11035
18021,"Clay County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1755
18023,"Clinton County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2233
18025,"Crawford County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,419
18027,"Daviess County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1626
18029,"Dearborn County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,4472
18031,"Decatur County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1890
18033,"DeKalb County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,3220
18035,"Delaware County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,9478
18037,"Dubois County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,3682
18039,"Elkhart County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,15620
18041,"Fayette County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1106
18043,"Floyd County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,8448
18045,"Fountain County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1049
18047,"Franklin County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2001
18049,"Fulton County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1267
18051,"Gibson County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2396
18053,"Grant County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,4771
18055,"Greene County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1941
18057,"Hamilton County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,67794
18059,"Hancock County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,8860
18061,"Harrison County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2813
18063,"Hendricks County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,23731
18065,"Henry County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,3553
18067,"Howard County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,6923
18069,"Huntington County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2769
18071,"Jackson County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2879
18073,"Jasper County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2138
18075,"Jay County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,923
18077,"Jefferson County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2341
18079,"Jennings County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1264
18081,"Johnson County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,18649
18083,"Knox County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2422
18085,"Kosciusko County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,6906
18087,"LaGrange County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1272
18089,"Lake County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,45035
18091,"LaPorte County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,8400
18093,"Lawrence County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2894
18095,"Madison County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,10702
18097,"Marion County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,111349
18099,"Marshall County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,3558
18101,"Martin County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,471
18103,"Miami County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1921
18105,"Monroe County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,17699
18107,"Montgomery County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2690
18109,"Morgan County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,4830
18111,"Newton County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,637
18113,"Noble County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,3123
18115,"Ohio County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,404
18117,"Orange County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,950
18119,"Owen County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,896
18121,"Parke County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1101
18123,"Perry County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,817
18125,"Pike County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,661
18127,"Porter County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,18608
18129,"Posey County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2479
18131,"Pulaski County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,736
18133,"Putnam County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2149
18135,"Randolph County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1290
18137,"Ripley County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2232
18139,"Rush County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1017
18141,"St. Joseph County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,29255
18143,"Scott County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1341
18145,"Shelby County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2802
18147,"Spencer County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1315
18149,"Starke County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1204
18151,"Steuben County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,3172
18153,"Sullivan County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1417
18155,"Switzerland County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,458
18157,"Tippecanoe County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,19647
18159,"Tipton County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1462
18161,"Union County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,606
18163,"Vanderburgh County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,19180
18165,"Vermillion County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1072
18167,"Vigo County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,9589
18169,"Wabash County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2428
18171,"Warren County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,737
18173,"Warrick County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,7047
18175,"Washington County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1177
18177,"Wayne County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,4711
18179,"Wells County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2214
18181,"White County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,1732
18183,"Whitley County, Indiana",2015,Total; Estimate; Population 25 years and over - Bachelor's degree,2619
0,United States,2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,23786225
18000,Indiana ,2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,375509
18001,"Adams County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1074
18003,"Allen County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,22123
18005,"Bartholomew County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,6082
18007,"Benton County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,289
18009,"Blackford County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,310
18011,"Boone County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,6874
18013,"Brown County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1232
18015,"Carroll County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,778
18017,"Cass County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1286
18019,"Clark County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,4573
18021,"Clay County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,996
18023,"Clinton County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1020
18025,"Crawford County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,298
18027,"Daviess County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1134
18029,"Dearborn County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,2147
18031,"Decatur County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,975
18033,"DeKalb County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1574
18035,"Delaware County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,7051
18037,"Dubois County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1647
18039,"Elkhart County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,7338
18041,"Fayette County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,516
18043,"Floyd County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,4845
18045,"Fountain County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,540
18047,"Franklin County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,995
18049,"Fulton County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,579
18051,"Gibson County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1049
18053,"Grant County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,3006
18055,"Greene County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1186
18057,"Hamilton County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,38821
18059,"Hancock County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,4738
18061,"Harrison County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1530
18063,"Hendricks County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,9948
18065,"Henry County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1857
18067,"Howard County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,3853
18069,"Huntington County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1700
18071,"Jackson County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1530
18073,"Jasper County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1241
18075,"Jay County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,485
18077,"Jefferson County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1522
18079,"Jennings County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,679
18081,"Johnson County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,8743
18083,"Knox County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1370
18085,"Kosciusko County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,3719
18087,"LaGrange County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,858
18089,"Lake County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,21464
18091,"LaPorte County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,4841
18093,"Lawrence County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1516
18095,"Madison County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,5018
18097,"Marion County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,59414
18099,"Marshall County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,2080
18101,"Martin County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,393
18103,"Miami County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1047
18105,"Monroe County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,18020
18107,"Montgomery County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1383
18109,"Morgan County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,2571
18111,"Newton County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,316
18113,"Noble County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1349
18115,"Ohio County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,164
18117,"Orange County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,580
18119,"Owen County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,672
18121,"Parke County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,524
18123,"Perry County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,747
18125,"Pike County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,383
18127,"Porter County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,11021
18129,"Posey County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1153
18131,"Pulaski County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,292
18133,"Putnam County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1614
18135,"Randolph County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,877
18137,"Ripley County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,940
18139,"Rush County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,717
18141,"St. Joseph County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,19056
18143,"Scott County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,634
18145,"Shelby County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1709
18147,"Spencer County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,849
18149,"Starke County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,630
18151,"Steuben County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1450
18153,"Sullivan County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,563
18155,"Switzerland County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,181
18157,"Tippecanoe County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,15277
18159,"Tipton County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,667
18161,"Union County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,318
18163,"Vanderburgh County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,10235
18165,"Vermillion County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,429
18167,"Vigo County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,5999
18169,"Wabash County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1723
18171,"Warren County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,369
18173,"Warrick County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,4162
18175,"Washington County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1162
18177,"Wayne County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,3356
18179,"Wells County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1079
18181,"White County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,877
18183,"Whitley County, Indiana",2015,Total; Estimate; Population 25 years and over - Graduate or professional degree,1577
