Source ,United States Census Bureau,,,
Note ,Percentage Share of Total Establishments ,,,
URL ,http://www.census.gov/content/census/en/programs-surveys/cbp/data/tables.All.html/,,,
,,,,
Fips Code ,Geography ,Years ,Statistics ,Value 
18163,"Vanderburgh County, Indiana",2014,Logistics Establishments,1229
18165,"Vermillion County, Indiana",2014,Logistics Establishments,76
18167,"Vigo County, Indiana",2014,Logistics Establishments,599
18169,"Wabash County, Indiana",2014,Logistics Establishments,170
18171,"Warren County, Indiana",2014,Logistics Establishments,29
18173,"Warrick County, Indiana",2014,Logistics Establishments,217
18175,"Washington County, Indiana",2014,Logistics Establishments,110
18177,"Wayne County, Indiana",2014,Logistics Establishments,359
18179,"Wells County, Indiana",2014,Logistics Establishments,155
18181,"White County, Indiana",2014,Logistics Establishments,177
18183,"Whitley County, Indiana",2014,Logistics Establishments,157
0,United States,2014,Total Establishments,7563085
18000,Indiana,2014,Total Establishments,143826
18001,"Adams County, Indiana",2014,Total Establishments,724
18003,"Allen County, Indiana",2014,Total Establishments,9070
18005,"Bartholomew County, Indiana",2014,Total Establishments,1796
18007,"Benton County, Indiana",2014,Total Establishments,184
18009,"Blackford County, Indiana",2014,Total Establishments,231
18011,"Boone County, Indiana",2014,Total Establishments,1445
18013,"Brown County, Indiana",2014,Total Establishments,353
18015,"Carroll County, Indiana",2014,Total Establishments,376
18017,"Cass County, Indiana",2014,Total Establishments,731
18019,"Clark County, Indiana",2014,Total Establishments,2400
18021,"Clay County, Indiana",2014,Total Establishments,468
18023,"Clinton County, Indiana",2014,Total Establishments,588
18025,"Crawford County, Indiana",2014,Total Establishments,123
18027,"Daviess County, Indiana",2014,Total Establishments,866
18029,"Dearborn County, Indiana",2014,Total Establishments,911
18031,"Decatur County, Indiana",2014,Total Establishments,615
18033,"DeKalb County, Indiana",2014,Total Establishments,986
18035,"Delaware County, Indiana",2014,Total Establishments,2322
18037,"Dubois County, Indiana",2014,Total Establishments,1288
18039,"Elkhart County, Indiana",2014,Total Establishments,4825
18041,"Fayette County, Indiana",2014,Total Establishments,445
18043,"Floyd County, Indiana",2014,Total Establishments,1761
18045,"Fountain County, Indiana",2014,Total Establishments,313
18047,"Franklin County, Indiana",2014,Total Establishments,413
18049,"Fulton County, Indiana",2014,Total Establishments,467
18051,"Gibson County, Indiana",2014,Total Establishments,708
18053,"Grant County, Indiana",2014,Total Establishments,1308
18055,"Greene County, Indiana",2014,Total Establishments,580
18057,"Hamilton County, Indiana",2014,Total Establishments,8274
18059,"Hancock County, Indiana",2014,Total Establishments,1369
18061,"Harrison County, Indiana",2014,Total Establishments,651
18063,"Hendricks County, Indiana",2014,Total Establishments,3027
18065,"Henry County, Indiana",2014,Total Establishments,820
18067,"Howard County, Indiana",2014,Total Establishments,1742
18069,"Huntington County, Indiana",2014,Total Establishments,875
18071,"Jackson County, Indiana",2014,Total Establishments,1004
18073,"Jasper County, Indiana",2014,Total Establishments,736
18075,"Jay County, Indiana",2014,Total Establishments,395
18077,"Jefferson County, Indiana",2014,Total Establishments,660
18079,"Jennings County, Indiana",2014,Total Establishments,413
18081,"Johnson County, Indiana",2014,Total Establishments,3065
