Source ,Bureau of Economic Analysis/ America Community Survey ,,,
Note ,Per Capita Personal Income/Median Household Income,,,
URL ,https://bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=7#reqid=70&step=30&isuri=1&7022=20&7023=7&7024=non-industry&7033=-1&7025=4&7026=xx&7027=2015&7001=720&7028=3&7031=18000&7040=-1&7083=levels&7029=20&7090=70,,,
,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_B19013&prodType=table(Median Household Income in the past 12 months),,,
,,,,
Fips ,Geography,Years ,Statistics ,Value 
18141,"St. Joseph, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),45471
18143,"Scott, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),44442
18145,"Shelby, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),53584
18147,"Spencer, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),55247
18149,"Starke, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),42208
18151,"Steuben, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),48472
18153,"Sullivan, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),45023
18155,"Switzerland, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),44061
18157,"Tippecanoe, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),45932
18159,"Tipton, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),51613
18161,"Union, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),44277
18163,"Vanderburgh, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),43046
18165,"Vermillion, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),43600
18167,"Vigo, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),40313
18169,"Wabash, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),45649
18171,"Warren, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),56042
18173,"Warrick, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),62185
18175,"Washington, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),41289
18177,"Wayne, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),38494
18179,"Wells, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),51101
18181,"White, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),52154
18183,"Whitley, IN",2015,Median household income in the past 12 months (in 2015 Inflation- adjusted dollar),54389
