Source , Indiana Youth Institute,,,
Note ,Public School Students Receiving Free or Reduced Price Lunches- 2015,,,
URL ,"http://datacenter.kidscount.org/data/tables/5187-public-school-students-receiving-free-or-reduced-price-lunches?loc=16&loct=5#detailed/5/2292-2383/false/573,869,36,868,867/1279,1280,1281/13762,11655",,,
,,,,
Fips ,Geography ,Year ,Statistic ,Value 
18075,"Jay County, Indiana",2015,Reduce Lunch,11.3
18077,"Jefferson County, Indiana",2015,Reduce Lunch,9.7
18079,"Jennings County, Indiana",2015,Reduce Lunch,12.9
18081,"Johnson County, Indiana",2015,Reduce Lunch,8.9
18083,"Knox County, Indiana",2015,Reduce Lunch,9.2
18085,"Kosciusko County, Indiana",2015,Reduce Lunch,10.7
18087,"LaGrange County, Indiana",2015,Reduce Lunch,15.6
18089,"Lake County, Indiana",2015,Reduce Lunch,5.6
18091,"LaPorte County, Indiana",2015,Reduce Lunch,7.6
18093,"Lawrence County, Indiana",2015,Reduce Lunch,10.7
18095,"Madison County, Indiana",2015,Reduce Lunch,7.8
18097,"Marion County, Indiana",2015,Reduce Lunch,7
18099,"Marshall County, Indiana",2015,Reduce Lunch,11.1
18101,"Martin County, Indiana",2015,Reduce Lunch,9.1
18103,"Miami County, Indiana",2015,Reduce Lunch,9.1
18105,"Monroe County, Indiana",2015,Reduce Lunch,6.1
18107,"Montgomery County, Indiana",2015,Reduce Lunch,8.7
18109,"Morgan County, Indiana",2015,Reduce Lunch,8.9
18111,"Newton County, Indiana",2015,Reduce Lunch,8.3
18113,"Noble County, Indiana",2015,Reduce Lunch,10.6
18115,"Ohio County, Indiana",2015,Reduce Lunch,8.1
18117,"Orange County, Indiana",2015,Reduce Lunch,10.3
18119,"Owen County, Indiana",2015,Reduce Lunch,8.5
18121,"Parke County, Indiana",2015,Reduce Lunch,7
18123,"Perry County, Indiana",2015,Reduce Lunch,7.1
18125,"Pike County, Indiana",2015,Reduce Lunch,10.1
18127,"Porter County, Indiana",2015,Reduce Lunch,7
18129,"Posey County, Indiana",2015,Reduce Lunch,6.2
18131,"Pulaski County, Indiana",2015,Reduce Lunch,11
18133,"Putnam County, Indiana",2015,Reduce Lunch,8.1
