Source ,Kids Count Data Center ,,,
Note ,"Monthly Average Number Of Families Receiving TANF/Monthl Average Number of Persons Issued Food Stamps (SNAP)/Woman, Infants and Children (WIC)",,,
URL ,"http://datacenter.kidscount.org/data/tables/1113-monthly-average-number-of-persons-issued-food-stamps-snap?loc=16&loct=5#detailed/5/2292-2383/false/573,869,36,868,867/any/2433- TANF ",,,
,"http://datacenter.kidscount.org/data/tables/1113-monthly-average-number-of-persons-issued-food-stamps-snap?loc=16&loct=5#detailed/5/2292-2383/false/573,869,36,868,867/any/2433- SNAP",,,
,"http://datacenter.kidscount.org/data/tables/1117-women-infants-and-children-wic-participants?loc=16&loct=5#detailed/5/2292-2383/false/573,869,36,868,867/3994,3995,3996,3997,3998,3999/14861,14860-WIC",,,
Fips Code ,Geography ,Years,Statistics ,Value 
18029,Dearborn,2015,WIC ,1298
18031,Decatur ,2015,WIC ,1074
18033,DeKalb ,2015,WIC ,1771
18035,Delaware ,2015,WIC ,4406
18037,Dubois ,2015,WIC ,1367
18039,Elkhart ,2015,WIC ,10408
18041,Fayette,2015,WIC ,1018
18043,Floyd ,2015,WIC ,2328
18045,Fountain ,2015,WIC ,746
18047,Franklin ,2015,WIC ,525
18049,Fulton ,2015,WIC ,825
18051,Gibson ,2015,WIC ,1067
18053,Grant ,2015,WIC ,3121
18055,Greene,2015,WIC ,1256
18057,Hamilton ,2015,WIC ,3800
18059,Hancock ,2015,WIC ,1543
18061,Harrison ,2015,WIC ,1411
18063,Hendricks ,2015,WIC ,2372
18065,Henry,2015,WIC ,1876
18067,Howard,2015,WIC ,3908
18069,Huntington ,2015,WIC ,1329
18071,Jackson ,2015,WIC ,2254
18073,Jasper,2015,WIC ,1119
18075,Jay ,2015,WIC ,1013
18077,Jefferson,2015,WIC ,1335
18079,Jennings,2015,WIC ,1443
18081,Johnson ,2015,WIC ,4291
18083,Knox ,2015,WIC ,1479
18085,Kosciusko ,2015,WIC ,2952
18087,LaGrange ,2015,WIC ,771
18089,Lake ,2015,WIC ,20737
18091,LaPorte ,2015,WIC ,5082
18093,Lawrence ,2015,WIC ,1832
18095,Madison ,2015,WIC ,5895
18097,Marion ,2015,WIC ,53874
18099,Marshall,2015,WIC ,1759
18101,Martin,2015,WIC ,405
18103,Miami,2015,WIC ,1638
18105,Monroe ,2015,WIC ,3550
18107,Montgomery ,2015,WIC ,1737
18109,Morgan ,2015,WIC ,2088
18111,Newton ,2015,WIC ,454
18113,Noble ,2015,WIC ,1868
18115,Ohio,2015,WIC ,134
18117,Orange,2015,WIC ,936
18119,Owen ,2015,WIC ,839
18121,Parke,2015,WIC ,542
18123,Perry,2015,WIC ,595
18125,Pike ,2015,WIC ,376
18127,Porter,2015,WIC ,3825
18129,Posey,2015,WIC ,570
18131,Pulaski,2015,WIC ,513
18133,Putnam ,2015,WIC ,1311
18135,Randolph ,2015,WIC ,1220
18137,Ripley,2015,WIC ,1097
18139,Rush ,2015,WIC ,574
18141,St. Joseph,2015,WIC ,12085
18143,Scott,2015,WIC ,1279
18145,Shelby ,2015,WIC ,1806
18147,Spencer ,2015,WIC ,558
18149,Starke,2015,WIC ,1014
18151,Steuben ,2015,WIC ,1694
18153,Sullivan ,2015,WIC ,788
18155,Switzerland ,2015,WIC ,355
18157,Tippecanoe ,2015,WIC ,7319
18159,Tipton,2015,WIC ,342
18161,Union ,2015,WIC ,252
18163,Vanderburgh ,2015,WIC ,5085
18165,Vermillion ,2015,WIC ,640
18167,Vigo ,2015,WIC ,4314
18169,Wabash ,2015,WIC ,1192
18171,Warren ,2015,WIC ,264
18173,Warrick ,2015,WIC ,1325
18175,Washington ,2015,WIC ,1183
18177,Wayne ,2015,WIC ,3064
18179,Wells,2015,WIC ,874
18181,White ,2015,WIC ,1150
18183,Whitley,2015,WIC ,959
